source_line,invoice_no,invoice_date,vendor_gstin,vendor_name_raw,vendor_name_canonical,category,state,description,taxable_amount_orig,gst_amount_orig,gst_rate,currency,taxable_amount_inr,gst_amount_inr,payment_status,payment_date,is_credit_note,standard_term_days,flags
13,INV-2024-0008,2024-05-30,19AAECE3456N1Z1,Eastern Logistics,Eastern Logistics Co,Transport,West Bengal,MS plate 12mm supply,49824.0,2491.21,0.05,INR,49824.0,2491.21,Paid,2024-07-30,False,15,missing_gstin_no_itc|vendor_matched_by_name_fallback
14,INV-2024-0028,2024-08-10,19AAJCS0123T1Z3,Sen Brothers Welding,Sen Brothers Welding,Fabrication,West Bengal,Structural design review,43064.4,7752.0,0.18,INR,43064.4,7752.0,Paid,2024-10-10,False,45,
15,INV-2024-0058,2025-01-15,33AADCS9012M1Z8,Sundaram Engineering,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,Welding consumables,687933.31,82552.0,0.12,INR,687933.31,82552.0,Paid,2025-02-09,False,45,
16,INV-2024-0118,2024-11-18,29AALCM8901V1Z0,Meridian Consultants LLP,Meridian Consultants LLP,Services,Karnataka,Site safety harness x20,791872.54,142537.0,0.18,INR,791872.54,142537.0,Paid,2025-01-01,False,45,
17,INV-2024-0009,2025-01-20,19AAECE3456N1Z1,Eastern Logistics Co,Eastern Logistics Co,Transport,West Bengal,Epoxy primer 200L,895417.09,161175.0,0.18,INR,895417.09,161175.0,Unpaid,,False,15,
18,INV-2024-0902,2025-01-08,27AAGCP2345Q1Z9,Precision Tools India,Precision Tools India,Tooling,Maharashtra,Imported CNC spindle bearing,6200.0,1116.0,0.18,USD,517700.0,93186.0,Unpaid,,False,30,usd_converted_at_83.5
19,INV-2024-0017,2024-05-25,10AAFCG7890P1Z4,Gupta Hardware,Gupta Hardware Stores,Consumables,Bihar,Cutting tools replenishment,708536.0,127536.0,0.18,INR,708536.0,127536.0,Paid,2024-06-22,False,30,
20,INV-2024-0104,2024-07-26,27AAGCP2345Q1Z9,Precision Tools India,Precision Tools India,Tooling,Maharashtra,MS plate 12mm supply,42694.74,2134.74,0.05,INR,42694.74,2134.74,Paid,2024-08-23,False,30,
21,INV-2024-0085,2024-09-20,21AACCK5678L1Z2,Konark Fabrication,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Cutting tools replenishment,312527.0,37503.0,0.12,INR,312527.0,37503.0,Paid,2024-10-25,False,45,
22,INV-2024-0901,2024-09-19,27AAGCP2345Q1Z9,Precision Tools India,Precision Tools India,Tooling,Maharashtra,Imported carbide inserts,8700.0,1566.0,0.18,USD,726450.0,130761.0,Paid,2024-10-24,False,30,usd_converted_at_83.5
23,INV-2024-0100,2024-09-05,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Epoxy primer 200L,347611.0,41713.34,0.12,INR,347611.0,41713.34,Paid,2024-10-03,False,30,
24,INV-2024-0015,2024-08-28,19AAECE3456N1Z1,EASTERN LOGISTICS,Eastern Logistics Co,Transport,West Bengal,Freight - Durgapur to Asansol,110269.78,19849.0,0.18,INR,110269.78,19849.0,Paid,2024-10-02,False,15,
25,INV-2024-0114,2024-11-15,19AAECE3456N1Z1,EASTERN LOGISTICS,Eastern Logistics Co,Transport,West Bengal,MS plate 12mm supply,740369.58,133267.0,0.18,INR,740369.58,133267.0,Paid,2024-12-16,False,15,
26,INV-2024-0117,2024-12-13,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,Girder fabrication - lot 3,13757.0,2476.0,0.18,INR,13757.0,2476.0,Paid,2025-01-13,False,30,
27,INV-2024-0050,2025-02-13,10AAFCG7890P1Z4,GUPTA HARDWARE STORES,Gupta Hardware Stores,Consumables,Bihar,Welding consumables,228669.0,27440.0,0.12,INR,228669.0,27440.0,Paid,2025-03-29,False,30,
28,INV-2024-0059,2025-03-11,19AABCB1234K1Z5,BHARAT STEEL WORKS,Bharat Steel Works,Raw Material,West Bengal,Freight - Durgapur to Asansol,635645.1,177980.63,0.28,INR,635645.1,177980.63,Paid,2025-05-02,False,30,
29,INV-2024-0038,2025-03-07,19AABCB1234K1Z5,Bharat Steel Works Pvt Ltd,Bharat Steel Works,Raw Material,West Bengal,Shot blasting service,46906.3,13133.76,0.28,INR,46906.3,13133.76,Paid,2025-04-28,False,30,
30,INV-2024-0024,2024-11-21,27AAGCP2345Q1Z9,Precision Tools India,Precision Tools India,Tooling,Maharashtra,Structural design review,13330.65,2400.0,0.18,INR,13330.65,2400.0,Paid,2025-01-12,False,30,
31,INV-2024-0016,2025-01-12,19AABCB1234K1Z5,Bharat Steel  Works,Bharat Steel Works,Raw Material,West Bengal,Angle sections supply,33098.0,1655.0,0.05,INR,33098.0,1655.0,Paid,2025-01-24,False,30,
32,INV-2024-0010,2025-03-05,19AAJCS0123T1Z3,SEN BROTHERS WELDING,Sen Brothers Welding,Fabrication,West Bengal,Epoxy primer 200L,85154.32,15328.0,0.18,INR,85154.32,15328.0,Paid,2025-04-09,False,45,
33,INV-2024-0052,2025-02-27,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,Welding consumables,43977.0,5277.19,0.12,INR,43977.0,5277.19,Paid,2025-03-30,False,30,
34,INV-2024-0108,2024-07-17,10AAFCG7890P1Z4,Gupta Hardware Stores,Gupta Hardware Stores,Consumables,Bihar,Welding consumables,385003.78,107801.06,0.28,INR,385003.78,107801.06,Paid,2024-08-14,False,30,
35,INV-2024-0105,2025-01-09,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Welding consumables,78279.0,21918.25,0.28,INR,78279.0,21918.25,Paid,2025-01-27,False,30,
36,INV-2024-0005,2024-06-18,07AAKCA4567U1Z7,Apex Safety Equipment,Apex Safety Equipment,Safety,Delhi,Shot blasting service,107718.31,19389.3,0.18,INR,107718.31,19389.3,Unpaid,,False,30,
37,INV-2024-0057,2024-08-03,19AAECE3456N1Z1,Eastern Logistics Co,Eastern Logistics Co,Transport,West Bengal,Shot blasting service,496981.37,89456.65,0.18,INR,496981.37,89456.65,Paid,2024-08-28,False,15,
38,INV-2024-0077,2024-08-02,10AAFCG7890P1Z4,Gupta Hardware Stores,Gupta Hardware Stores,Consumables,Bihar,Site safety harness x20,58788.0,10582.0,0.18,INR,58788.0,10582.0,Paid,2024-08-20,False,30,
39,INV-2024-0110,2025-03-23,21AACCK5678L1Z2,Konark Fabrication Pvt. Ltd.,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Shot blasting service,1004002.0,120480.0,0.12,INR,1004002.0,120480.0,Paid,2025-05-23,False,45,
40,INV-2024-0025,2024-06-27,21AACCK5678L1Z2,Konark Fab,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Welding consumables,880230.71,158441.53,0.18,INR,880230.71,158441.53,Paid,2024-08-01,False,45,
41,INV-2024-0097,2025-02-28,19AAECE3456N1Z1,Eastern Logistics Co,Eastern Logistics Co,Transport,West Bengal,Freight - Durgapur to Asansol,12545.5,2258.19,0.18,INR,12545.5,2258.19,Paid,2025-04-09,False,15,
42,INV-2024-0076,2025-02-06,24AAHCN6789R1Z6,Nova Paints and Coatings,Nova Paints & Coatings,Consumables,Gujarat,MS plate 12mm supply,42463.0,5095.61,0.12,INR,42463.0,5095.61,Paid,2025-03-13,False,30,
43,INV-2024-0022,2024-04-04,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Welding consumables,59525.0,2976.24,0.05,INR,59525.0,2976.24,Paid,2024-05-09,False,30,
44,INV-2024-0034,2024-07-08,19AAJCS0123T1Z3,Sen Brothers,Sen Brothers Welding,Fabrication,West Bengal,Cutting tools replenishment,70349.76,19697.93,0.28,INR,70349.76,19697.93,Unpaid,,False,45,missing_gstin_no_itc|vendor_matched_by_name_fallback
45,INV-2024-0089,2024-07-31,24AAHCN6789R1Z6,Nova Paints & Coatings,Nova Paints & Coatings,Consumables,Gujarat,Welding consumables,15892.0,4449.72,0.28,INR,15892.0,4449.72,Paid,2024-08-28,False,30,missing_gstin_no_itc|vendor_matched_by_name_fallback
46,INV-2024-0090,2024-04-05,21AACCK5678L1Z2,Konark Fab,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Freight - Durgapur to Asansol,61521.0,11073.83,0.18,INR,61521.0,11073.83,Paid,2024-04-23,False,45,
47,INV-2024-0072,2025-03-10,07AAKCA4567U1Z7,APEX SAFETY EQUIPMENT,Apex Safety Equipment,Safety,Delhi,Welding consumables,337075.0,40449.0,0.12,INR,337075.0,40449.0,Paid,2025-05-10,False,30,
48,INV-2024-0084,2024-10-25,24AAHCN6789R1Z6,Nova Paints & Coatings,Nova Paints & Coatings,Consumables,Gujarat,Freight - Durgapur to Asansol,56284.0,15760.0,0.28,INR,56284.0,15760.0,Unpaid,,False,30,
49,INV-2024-0033,2025-01-24,27AAGCP2345Q1Z9,Precision Tools India,Precision Tools India,Tooling,Maharashtra,Structural design review,70642.03,12716.0,0.18,INR,70642.03,12716.0,Paid,2025-02-05,False,30,
50,INV-2024-0013,2024-07-18,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,Shot blasting service,43104.0,7759.0,0.18,INR,43104.0,7759.0,Paid,2024-08-12,False,30,
51,INV-2024-0019,2024-12-04,29AALCM8901V1Z0,Meridian Consultants LLP,Meridian Consultants LLP,Services,Karnataka,Epoxy primer 200L,50373.22,6045.0,0.12,INR,50373.22,6045.0,Paid,2025-01-04,False,45,
52,INV-2024-0004,2025-02-26,19AAECE3456N1Z1,Eastern Logistics Co,Eastern Logistics Co,Transport,West Bengal,Epoxy primer 200L,209601.34,58688.0,0.28,INR,209601.34,58688.0,Paid,2025-03-23,False,15,
53,INV-2024-0080,2025-03-09,10AAFCG7890P1Z4,GUPTA HARDWARE STORES,Gupta Hardware Stores,Consumables,Bihar,Site safety harness x20,84461.18,10135.0,0.12,INR,84461.18,10135.0,Paid,2025-04-03,False,30,
54,INV-2024-0002,2024-08-13,24AAHCN6789R1Z6,Nova Paints & Coatings,Nova Paints & Coatings,Consumables,Gujarat,Girder fabrication - lot 3,312771.66,56298.9,0.18,INR,312771.66,56298.9,Paid,2024-08-25,False,30,
55,INV-2024-0096,2024-07-08,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Girder fabrication - lot 3,31176.0,3741.09,0.12,INR,31176.0,3741.09,Paid,2024-09-07,False,30,
57,INV-2024-0069,2024-04-13,07AAKCA4567U1Z7,APEX SAFETY EQUIPMENT,Apex Safety Equipment,Safety,Delhi,Girder fabrication - lot 3,37497.0,6749.45,0.18,INR,37497.0,6749.45,Paid,2024-04-25,False,30,
58,INV-2024-0903,2024-04-03,19AAJCS0123T1Z3,Sen Brothers Welding,Sen Brothers Welding,Fabrication,West Bengal,Onsite welding crew - 6 days,111000.0,19980.0,0.18,INR,111000.0,19980.0,Paid,2024-06-05,False,45,
59,INV-2024-0006,2024-11-20,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,Angle sections supply,341892.04,95729.77,0.28,INR,341892.04,95729.77,Unpaid,,False,30,
60,INV-2024-0051,2024-12-13,21AACCK5678L1Z2,KONARK FABRICATION,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Cutting tools replenishment,199474.47,55853.0,0.28,INR,199474.47,55853.0,Paid,2025-01-07,False,45,
61,INV-2024-0036,2024-12-08,19AABCB1234K1Z5,Bharat Steel Works Pvt Ltd,Bharat Steel Works,Raw Material,West Bengal,Structural design review,10039.0,1807.0,0.18,INR,10039.0,1807.0,Paid,2025-01-29,False,30,
62,INV-2024-0068,2024-10-09,10AAFCG7890P1Z4,Gupta Hardware Stores,Gupta Hardware Stores,Consumables,Bihar,Angle sections supply,165198.0,46255.36,0.28,INR,165198.0,46255.36,Unpaid,,False,30,
63,INV-2024-0040,2024-11-09,24AAHCN6789R1Z6,Nova Paints & Coatings,Nova Paints & Coatings,Consumables,Gujarat,Angle sections supply,530956.0,26548.0,0.05,INR,530956.0,26548.0,Paid,2024-12-04,False,30,
64,INV-2024-0086,2024-05-18,19AABCB1234K1Z5,BHARAT STEEL WORKS,Bharat Steel Works,Raw Material,West Bengal,Welding consumables,94279.8,11313.58,0.12,INR,94279.8,11313.58,Unpaid,,False,30,
65,INV-2024-0014,2024-07-06,07AAKCA4567U1Z7,APEX SAFETY EQUIPMENT,Apex Safety Equipment,Safety,Delhi,Structural design review,33101.79,1655.09,0.05,INR,33101.79,1655.09,Paid,2024-08-03,False,30,
66,INV-2024-0041,2024-08-10,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,Girder fabrication - lot 3 (revised),312000.0,56160.0,0.18,INR,312000.0,56160.0,Paid,2024-10-10,False,30,duplicate_resolved_kept
67,INV-2024-0065,2025-01-19,07AAKCA4567U1Z7,APEX SAFETY EQUIPMENT,Apex Safety Equipment,Safety,Delhi,Welding consumables,514302.0,25715.0,0.05,INR,514302.0,25715.0,Unpaid,,False,30,
68,INV-2024-0039,2024-06-30,10AAFCG7890P1Z4,GUPTA HARDWARE STORES,Gupta Hardware Stores,Consumables,Bihar,Structural design review,149683.94,26943.0,0.18,INR,149683.94,26943.0,Unpaid,,False,30,
69,INV-2024-0098,2024-11-16,10AAFCG7890P1Z4,GUPTA HARDWARE STORES,Gupta Hardware Stores,Consumables,Bihar,Structural design review,401762.0,72317.13,0.18,INR,401762.0,72317.13,Paid,2024-12-14,False,30,
70,INV-2024-0066,2024-08-25,27AAGCP2345Q1Z9,Precision Tools (India) Pvt Ltd,Precision Tools India,Tooling,Maharashtra,Structural design review,77485.15,3874.26,0.05,INR,77485.15,3874.26,Paid,2024-09-19,False,30,
71,INV-2024-0067,2024-04-15,19AABCB1234K1Z5,BHARAT STEEL WORKS,Bharat Steel Works,Raw Material,West Bengal,Cutting tools replenishment,11742.0,2113.0,0.18,INR,11742.0,2113.0,Paid,2024-05-03,False,30,
72,INV-2024-0101,2025-01-07,07AAKCA4567U1Z7,Apex Safety Equip.,Apex Safety Equipment,Safety,Delhi,Welding consumables,490097.78,24504.89,0.05,INR,490097.78,24504.89,Paid,2025-02-11,False,30,
73,INV-2024-0056,2025-03-05,27AAGCP2345Q1Z9,Precision Tools India,Precision Tools India,Tooling,Maharashtra,Angle sections supply,385817.3,108029.0,0.28,INR,385817.3,108029.0,Paid,2025-05-05,False,30,
74,INV-2024-0037,2024-09-14,07AAKCA4567U1Z7,Apex Safety Equip.,Apex Safety Equipment,Safety,Delhi,Shot blasting service,167583.91,30165.1,0.18,INR,167583.91,30165.1,Unpaid,,False,30,
75,INV-2024-0060,2024-12-12,33AADCS9012M1Z8,Sundaram Engg,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,Site safety harness x20,9900.0,1782.08,0.18,INR,9900.0,1782.08,Paid,2025-01-21,False,45,missing_gstin_no_itc|vendor_matched_by_name_fallback
76,INV-2024-0053,2024-12-08,33AADCS9012M1Z8,Sundaram Engineering,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,Site safety harness x20,12960.0,2332.76,0.18,INR,12960.0,2332.76,Paid,2024-12-26,False,45,
77,INV-2024-0029,2024-11-03,19AAJCS0123T1Z3,SEN BROTHERS WELDING,Sen Brothers Welding,Fabrication,West Bengal,Structural design review,41731.2,11685.0,0.28,INR,41731.2,11685.0,Paid,2024-11-15,False,45,
78,INV-2024-0054,2024-07-29,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Welding consumables,621855.32,111933.96,0.18,INR,621855.32,111933.96,Paid,2024-09-11,False,30,
79,INV-2024-0012,2025-02-18,07AAKCA4567U1Z7,Apex Safety Equipment,Apex Safety Equipment,Safety,Delhi,Structural design review,31058.0,1553.0,0.05,INR,31058.0,1553.0,Paid,2025-03-30,False,30,
80,INV-2024-0026,2024-09-22,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,MS plate 12mm supply,91032.0,10923.8,0.12,INR,91032.0,10923.8,Paid,2024-10-10,False,30,
81,INV-2024-0904,2027-02-14,10AAFCG7890P1Z4,Gupta Hardware,Gupta Hardware Stores,Consumables,Bihar,Fasteners assorted,21000.0,3780.0,0.18,INR,21000.0,3780.0,Unpaid,,False,30,future_dated
82,INV-2024-0907,2024-10-03,29AALCM8901V1Z0,Meridian Consultants LLP,Meridian Consultants LLP,Services,Karnataka,Load calculation review - awaiting final bill,,,0.18,INR,,,Unpaid,,False,45,blank_amount
83,INV-2024-0035,2024-12-08,10AAFCG7890P1Z4,Gupta Hardware,Gupta Hardware Stores,Consumables,Bihar,Cutting tools replenishment,97508.77,17551.58,0.18,INR,97508.77,17551.58,Unpaid,,False,30,
84,INV-2024-0082,2024-06-30,19AAJCS0123T1Z3,Sen Brothers Welding,Sen Brothers Welding,Fabrication,West Bengal,Cutting tools replenishment,13352.0,2403.3,0.18,INR,13352.0,2403.3,Paid,2024-07-18,False,45,
85,INV-2024-0061,2024-06-25,29AALCM8901V1Z0,Meridian Consultants LLP,Meridian Consultants LLP,Services,Karnataka,Girder fabrication - lot 3,465267.0,83748.05,0.18,INR,465267.0,83748.05,Paid,2024-08-04,False,45,
86,INV-2024-0070,2024-10-03,24AAHCN6789R1Z6,NOVA PAINTS & COATINGS,Nova Paints & Coatings,Consumables,Gujarat,Girder fabrication - lot 3,123122.0,34474.22,0.28,INR,123122.0,34474.22,Paid,2024-10-21,False,30,
87,INV-2024-0064,2024-06-02,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,MS plate 12mm supply,434972.14,78294.98,0.18,INR,434972.14,78294.98,Paid,2024-06-14,False,30,
88,INV-2024-0102,2024-12-12,19AAECE3456N1Z1,Eastern Logistics,Eastern Logistics Co,Transport,West Bengal,Freight - Durgapur to Asansol,102676.0,28749.0,0.28,INR,102676.0,28749.0,Paid,2025-02-02,False,15,
89,INV-2024-0003,2024-11-20,21AACCK5678L1Z2,Konark Fab,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Angle sections supply,35334.05,6360.0,0.18,INR,35334.05,6360.0,Paid,2024-12-25,False,45,
90,INV-2024-0906,2024-07-22,24AAHCN6789R1Z6,Nova Paints and Coatings,Nova Paints & Coatings,Consumables,Gujarat,PU topcoat 400L,244000.0,29280.0,0.18,INR,244000.0,29280.0,Paid,2024-08-30,False,30,gst_mismatch:expected=43920.00:stated=29280.00
91,INV-2024-0905,2024-12-18,19AAECE3456N1Z1,Eastern Logistics,Eastern Logistics Co,Transport,West Bengal,Trailer hire - 3 trips,81000.0,4050.0,0.05,INR,81000.0,4050.0,Paid,2024-11-02,False,15,payment_before_invoice
92,INV-2024-0044,2025-01-26,07AAKCA4567U1Z7,APEX SAFETY EQUIPMENT,Apex Safety Equipment,Safety,Delhi,Girder fabrication - lot 3,338706.0,60967.14,0.18,INR,338706.0,60967.14,Paid,2025-02-07,False,30,
93,INV-2024-0073,2024-12-20,21AACCK5678L1Z2,Konark Fab,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Girder fabrication - lot 3,607474.0,109345.37,0.18,INR,607474.0,109345.37,Paid,2025-01-14,False,45,
94,INV-2024-0094,2024-04-30,07AAKCA4567U1Z7,Apex Safety Equipment,Apex Safety Equipment,Safety,Delhi,Structural design review,38073.0,10660.36,0.28,INR,38073.0,10660.36,Paid,2024-05-18,False,30,
95,INV-2024-0062,2024-05-04,07AAKCA4567U1Z7,Apex Safety Equipment,Apex Safety Equipment,Safety,Delhi,Girder fabrication - lot 3,9538.81,477.0,0.05,INR,9538.81,477.0,Paid,2024-07-04,False,30,
96,INV-2024-0079,2024-08-08,21AACCK5678L1Z2,KONARK FABRICATION,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Welding consumables,48170.0,13488.0,0.28,INR,48170.0,13488.0,Unpaid,,False,45,
97,INV-2024-0095,2024-09-17,24AAHCN6789R1Z6,Nova Paints & Coatings,Nova Paints & Coatings,Consumables,Gujarat,Structural design review,136799.12,24623.84,0.18,INR,136799.12,24623.84,Paid,2024-10-22,False,30,
98,INV-2024-0093,2024-04-28,27AAGCP2345Q1Z9,Precision Tools India,Precision Tools India,Tooling,Maharashtra,Site safety harness x20,104609.16,12553.0,0.12,INR,104609.16,12553.0,Paid,2024-06-11,False,30,
99,INV-2024-0112,2024-05-24,21AACCK5678L1Z2,Konark Fabrication Pvt. Ltd.,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Girder fabrication - lot 3,457967.35,82434.0,0.18,INR,457967.35,82434.0,Paid,2024-07-07,False,45,
100,INV-2024-0088,2024-05-18,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,Angle sections supply,725564.0,130602.0,0.18,INR,725564.0,130602.0,Paid,2024-06-18,False,30,
101,INV-2024-0018,2024-06-08,33AADCS9012M1Z8,Sundaram Engineering,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,Site safety harness x20,255421.95,30651.0,0.12,INR,255421.95,30651.0,Paid,2024-06-20,False,45,
102,INV-2024-0083,2024-07-05,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Girder fabrication - lot 3,338991.4,40679.0,0.12,INR,338991.4,40679.0,Paid,2024-08-02,False,30,
103,CN-2024-0007,2024-11-12,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Credit note - short supply MS plate,-84000.0,-15120.0,0.18,INR,-84000.0,-15120.0,Adjusted,,True,30,
104,INV-2024-0045,2024-07-14,10AAFCG7890P1Z4,Gupta Hardware,Gupta Hardware Stores,Consumables,Bihar,Site safety harness x20,147476.0,26546.0,0.18,INR,147476.0,26546.0,Paid,2024-09-13,False,30,
105,INV-2024-0099,2024-04-20,21AACCK5678L1Z2,Konark Fabrication,Konark Fabrication Pvt. Ltd.,Fabrication,Odisha,Angle sections supply,875285.0,245080.0,0.28,INR,875285.0,245080.0,Paid,2024-05-02,False,45,
106,INV-2024-0027,2024-04-27,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,Angle sections supply,160734.19,28932.15,0.18,INR,160734.19,28932.15,Paid,2024-06-10,False,30,
107,INV-2024-0042,2024-04-04,33AADCS9012M1Z8,Sundaram Engineering,Sundaram Engineering Ltd,Fabrication,Tamil Nadu,Angle sections supply,165328.34,8266.42,0.05,INR,165328.34,8266.42,Paid,2024-05-26,False,45,
108,INV-2024-0107,2024-09-15,19AAECE3456N1Z1,Eastern Logistics,Eastern Logistics Co,Transport,West Bengal,Freight - Durgapur to Asansol,15689.0,2824.0,0.18,INR,15689.0,2824.0,Paid,2024-10-29,False,15,
109,INV-2024-0116,2024-08-11,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Freight - Durgapur to Asansol,721534.48,129876.0,0.18,INR,721534.48,129876.0,Paid,2024-09-24,False,30,
110,INV-2024-0103,2025-02-08,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Freight - Durgapur to Asansol,90754.0,16335.69,0.18,INR,90754.0,16335.69,Paid,2025-04-01,False,30,
111,INV-2024-0078,2024-09-05,27AAGCP2345Q1Z9,Precision Tools (India) Pvt Ltd,Precision Tools India,Tooling,Maharashtra,Welding consumables,59868.0,2993.42,0.05,INR,59868.0,2993.42,Paid,2024-10-27,False,30,
112,INV-2024-0048,2025-02-23,24AAHCN6789R1Z6,Nova Paints and Coatings,Nova Paints & Coatings,Consumables,Gujarat,Angle sections supply,43087.31,7756.0,0.18,INR,43087.31,7756.0,Paid,2025-03-13,False,30,
113,INV-2024-0011,2024-12-03,19AABCB1234K1Z5,Bharat Steel Works,Bharat Steel Works,Raw Material,West Bengal,Cutting tools replenishment,12423.0,621.14,0.05,INR,12423.0,621.14,Paid,2025-02-02,False,30,
114,INV-2024-0109,2024-09-18,27AAGCP2345Q1Z9,PRECISION TOOLS INDIA,Precision Tools India,Tooling,Maharashtra,Angle sections supply,116662.21,13999.0,0.12,INR,116662.21,13999.0,Paid,2024-11-18,False,30,
115,INV-2024-0001,2024-07-06,19AAECE3456N1Z1,EASTERN LOGISTICS,Eastern Logistics Co,Transport,West Bengal,Shot blasting service,634771.0,114259.0,0.18,INR,634771.0,114259.0,Paid,2024-08-27,False,15,
116,INV-2024-0087,2024-05-10,10AAFCG7890P1Z4,GUPTA HARDWARE STORES,Gupta Hardware Stores,Consumables,Bihar,Cutting tools replenishment,1057628.22,296136.0,0.28,INR,1057628.22,296136.0,Unpaid,,False,30,
